ID1,timepoint,time,datetime,well,sample,OD750
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A01,Sample X1,0.042
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A02,Sample X2,0.139
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A03,Sample X3,0.131
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A04,Sample X4,0.138
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A05,Sample X5,0.129
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A06,Sample X6,0.126
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A07,Sample X7,0.130
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A08,Sample X8,0.139
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A09,Sample X9,0.141
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A10,Sample X10,0.130
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A11,Sample X11,0.139
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A12,Sample X12,0.137
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A13,Sample X13,0.154
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A14,Sample X14,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A15,Sample X15,0.144
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A16,Sample X16,0.136
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A17,Sample X17,0.140
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A18,Sample X18,0.157
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A19,Sample X19,0.131
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A20,Sample X20,0.139
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A21,Sample X21,0.154
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A22,Sample X22,0.143
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A23,Sample X23,0.142
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,A24,Sample X24,0.041
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B01,Sample X25,0.043
cytomatIncubator518,T0,2022-08-03 17-01-30,2022-08-03 17:01:30,B02,Sample X26,0.138
